ETHOS/audio/en/system|kph|kilometre per hour
ETHOS/audio/en/system|ksph|kilometres per hour
ETHOS/audio/en/system|low-battery|radio battery is low
ETHOS/audio/en/system|low-rtc-battery|RTC battery is low
ETHOS/audio/en/system|mah|milliamp hour
ETHOS/audio/en/system|mahs|milliamp hours
ETHOS/audio/en/system|mamp|milliamp
ETHOS/audio/en/system|mamps|milliamps
ETHOS/audio/en/system|meter|meter
ETHOS/audio/en/system|meterps|meter per second
ETHOS/audio/en/system|meters|meters
ETHOS/audio/en/system|metersps|meters per second
ETHOS/audio/en/system|middle|middle
ETHOS/audio/en/system|mile|mile
ETHOS/audio/en/system|miles|miles
ETHOS/audio/en/system|millisecond|millisecond
ETHOS/audio/en/system|milliseconds|milliseconds
ETHOS/audio/en/system|minus|minus
ETHOS/audio/en/system|minute|minute
ETHOS/audio/en/system|minutes|minutes
ETHOS/audio/en/system|modelfile-version-error|model file version does not match
ETHOS/audio/en/system|mph|mile per hour
ETHOS/audio/en/system|msph|miles per hour
ETHOS/audio/en/system|mvolt|millivolt
ETHOS/audio/en/system|mvolts|millivolts
ETHOS/audio/en/system|mwatt|milliwatt
ETHOS/audio/en/system|mwatts|milliwatts
ETHOS/audio/en/system|no-calibration|the sticks are not calibrated
ETHOS/audio/en/system|no-failsave|failsave not set
ETHOS/audio/en/system|no-sd|no sd card inserted
ETHOS/audio/en/system|no-sound|radio is in silent mode
ETHOS/audio/en/system|percent|percent
ETHOS/audio/en/system|percents|percent
ETHOS/audio/en/system|point|point
ETHOS/audio/en/system|point0|point 0
ETHOS/audio/en/system|point1|point 1
ETHOS/audio/en/system|point2|point 2
ETHOS/audio/en/system|point3|point 3
ETHOS/audio/en/system|point4|point 4
ETHOS/audio/en/system|point5|point 5
ETHOS/audio/en/system|point6|point 6
ETHOS/audio/en/system|point7|point 7
ETHOS/audio/en/system|point8|point 8
ETHOS/audio/en/system|point9|point 9
ETHOS/audio/en/system|pot-warning|pot warning
ETHOS/audio/en/system|range-check|range check
ETHOS/audio/en/system|register|register
ETHOS/audio/en/system|rssi-critical-warning|RSSI critical warning
ETHOS/audio/en/system|rssi-ext-critical-warning|External module RSSI critical warning
ETHOS/audio/en/system|rssi-ext-lost|External module telemetry lost
ETHOS/audio/en/system|rssi-ext-low-warning|External module RSSI low warning
ETHOS/audio/en/system|rssi-ext-recovered|External module telemetry recovered
ETHOS/audio/en/system|rssi-int2g4-critical-warning|Internal module 2 point 4 ghz, RSSI critical warning
ETHOS/audio/en/system|rssi-int2g4-lost|Internal module 2 point 4 ghz, telemetry lost
ETHOS/audio/en/system|rssi-int2g4-low-warning|Internal module 2 point 4 ghz, RSSI low warning
ETHOS/audio/en/system|rssi-int2g4-recovered|Internal module 2 point 4 ghz, telemetry recovered
ETHOS/audio/en/system|rssi-int900m-critical-warning|Internal module 900 mhz, RSSI critical warning
ETHOS/audio/en/system|rssi-int900m-lost|Internal module 900 mhz, telemetry lost
ETHOS/audio/en/system|rssi-int900m-low-warning|Internal module 900 mhz, RSSI low warning
ETHOS/audio/en/system|rssi-int900m-recovered|Internal module 900 mhz, telemetry recovered
ETHOS/audio/en/system|rssi-int-critical-warning|Internal module, RSSI critical warning
ETHOS/audio/en/system|rssi-int-lost|Internal module, telemetry lost
ETHOS/audio/en/system|rssi-int-low-warning|Internal module, RSSI low warning
ETHOS/audio/en/system|rssi-int-recovered|Internal module, telemetry recovered
ETHOS/audio/en/system|rssi-lost|telemetry lost
ETHOS/audio/en/system|rssi-low-warning|RSSI low warning
ETHOS/audio/en/system|rssi-recovered|telemetry recovered
ETHOS/audio/en/system|rx-on-warning|receiver is still on
ETHOS/audio/en/system|second|second
ETHOS/audio/en/system|seconds|seconds
ETHOS/audio/en/system|sensor-lost|sensor lost
ETHOS/audio/en/system|slave-disconnect|slave disconnect
ETHOS/audio/en/system|switch-warning|switch warning
ETHOS/audio/en/system|swr-warning|SWR warning
ETHOS/audio/en/system|system-file-version-error|system file version does not match
ETHOS/audio/en/system|thousand|thousand
ETHOS/audio/en/system|thousands|thousands
ETHOS/audio/en/system|throttle-warning|throttle not idle
ETHOS/audio/en/system|trainer-lost|trainer signal lost
ETHOS/audio/en/system|trainer-recovered|trainer signal recovered
ETHOS/audio/en/system|trim-center|trim center
ETHOS/audio/en/system|trim-max|maximum trim reached
ETHOS/audio/en/system|trim-min|minimum trim reached
ETHOS/audio/en/system|up|up
ETHOS/audio/en/system|volt|volt
ETHOS/audio/en/system|volts|volts
ETHOS/audio/en/system|watt|watt
ETHOS/audio/en/system|watts|watts

ETHOS/audio|3dmode|three d mode
ETHOS/audio|acro|acro mode!, on
ETHOS/audio|acromd|Acro mode
ETHOS/audio|actv|active
ETHOS/audio|airmod|Air mode
ETHOS/audio|alt|Altitude
ETHOS/audio|altabs|Absolute Altitude
ETHOS/audio|altalm|Altitude alarm activated
ETHOS/audio|altrea|Target Altitude Reached
ETHOS/audio|altrel|Relative Altitude
ETHOS/audio|angmod|Angle mode
ETHOS/audio|armed|armed
ETHOS/audio|attmod|attitude mode
ETHOS/audio|autdtf|Automatic Detach, off!
ETHOS/audio|autdto|Automatic Detach, on!
