ETHOS SD-CARD/audio|fm-thr|flight mode thermal right
ETHOS SD-CARD/audio|gain|gain
ETHOS SD-CARD/audio|gdist|Ground distance
ETHOS SD-CARD/audio|geardn|gear!, down!
ETHOS SD-CARD/audio|gearup|gear!, up!
ETHOS SD-CARD/audio|glidet|Glider Detached
ETHOS SD-CARD/audio|glidersel|Glider Selected
ETHOS SD-CARD/audio|gps|gps
ETHOS SD-CARD/audio|gpsalt|gps altitude
ETHOS SD-CARD/audio|gpsaltrst|gps altitude reset
ETHOS SD-CARD/audio|gpscrs|gps course
ETHOS SD-CARD/audio|gpscrsrst|gps course reset
ETHOS SD-CARD/audio|gpsdist|gps distance
ETHOS SD-CARD/audio|gpsdistrst|gps distance reset
ETHOS SD-CARD/audio|gpsmod|g p s mode
ETHOS SD-CARD/audio|gpsspd|gps speed
ETHOS SD-CARD/audio|gpsspdrst|gps speed reset
ETHOS SD-CARD/audio|hdg|heading
ETHOS SD-CARD/audio|headsp|headspead
ETHOS SD-CARD/audio|hight|hight
ETHOS SD-CARD/audio|homact|homelock activated
ETHOS SD-CARD/audio|homlck|homelock activated
ETHOS SD-CARD/audio|hormod|horizon mode
ETHOS SD-CARD/audio|hoveon|Hover mode active
ETHOS SD-CARD/audio|idlup1|idle up 1
ETHOS SD-CARD/audio|idlup2|idle up 2
ETHOS SD-CARD/audio|idlup3|idle up 3
ETHOS SD-CARD/audio|iocdis|i o c disabled
ETHOS SD-CARD/audio|iocen|i o c enabled
ETHOS SD-CARD/audio|knifed|Knife edge mode active
ETHOS SD-CARD/audio|lightf|Lights off
ETHOS SD-CARD/audio|lighto|Lights on
ETHOS SD-CARD/audio|lnding|landing mode!, on
ETHOS SD-CARD/audio|logoff|sd logging off
ETHOS SD-CARD/audio|logon|sd logging on
ETHOS SD-CARD/audio|los|Line of sight
ETHOS SD-CARD/audio|lowbat|low battery!
ETHOS SD-CARD/audio|lq|L Q
ETHOS SD-CARD/audio|max|Maximum
ETHOS SD-CARD/audio|min|Minimal
ETHOS SD-CARD/audio|motarm|motors armed
ETHOS SD-CARD/audio|motdrm|motors disarmed
ETHOS SD-CARD/audio|motoff|motor off
ETHOS SD-CARD/audio|moton|motor on
ETHOS SD-CARD/audio|motor|motor
ETHOS SD-CARD/audio|navlof|Navigation Lights off
ETHOS SD-CARD/audio|navlon|Navigation Lights on
ETHOS SD-CARD/audio|normod|normal mode
ETHOS SD-CARD/audio|nrmmod|normal mode!, on
ETHOS SD-CARD/audio|osdoff|o s d off
ETHOS SD-CARD/audio|osdon|o s d on
ETHOS SD-CARD/audio|osdstp|o s d setup activated
ETHOS SD-CARD/audio|pct|Percent
ETHOS SD-CARD/audio|pctlft|Percent left
ETHOS SD-CARD/audio|rathi|high rate
ETHOS SD-CARD/audio|ratlow|low rate
ETHOS SD-CARD/audio|ratmed|medium rate
ETHOS SD-CARD/audio|ratpr1|rate profile 1
ETHOS SD-CARD/audio|ratpr2|rate profile 2
ETHOS SD-CARD/audio|ratpr3|rate profile 3
ETHOS SD-CARD/audio|recovr|Recovery active
ETHOS SD-CARD/audio|rfmode|rf mode
ETHOS SD-CARD/audio|rpm|rpm
ETHOS SD-CARD/audio|rpmrst|rpm rieset
ETHOS SD-CARD/audio|rssi|r s s i
ETHOS SD-CARD/audio|rssirst|r s s i reset
ETHOS SD-CARD/audio|rxbatt|r x battery voltage
ETHOS SD-CARD/audio|rxbattrst|r x battery voltage rieset
ETHOS SD-CARD/audio|sbeccon|s bec consumption
ETHOS SD-CARD/audio|sbecconrst|s bec consumption reset
ETHOS SD-CARD/audio|sbeccur|s bec current
ETHOS SD-CARD/audio|sbeccurrst|s bec current reset
ETHOS SD-CARD/audio|sbecvlt|s bec voltage
ETHOS SD-CARD/audio|sbecvltrst|s bec voltage rieset
ETHOS SD-CARD/audio|sigcrt|rf signal!, critical!
ETHOS SD-CARD/audio|siglow|rf signal!, low!
ETHOS SD-CARD/audio|spd|speed
ETHOS SD-CARD/audio|spdair|airspeed
ETHOS SD-CARD/audio|spdgnd|ground speed
ETHOS SD-CARD/audio|spdmod|high speed mode!, active
ETHOS SD-CARD/audio|sprrst|Speed reset
ETHOS SD-CARD/audio|splrdn|spoiler!, down!
ETHOS SD-CARD/audio|splrup|spoiler!, up!
ETHOS SD-CARD/audio|sprtmd|sport mode
ETHOS SD-CARD/audio|stabof|Stabilize off
ETHOS SD-CARD/audio|stabon|Stabilize active
ETHOS SD-CARD/audio|stksea|sticksense on
ETHOS SD-CARD/audio|stkseo|sticksense off
ETHOS SD-CARD/audio|strbof|Strobe lights off
ETHOS SD-CARD/audio|strbon|Strobe lights on
ETHOS SD-CARD/audio|telrst|Telemetry reset
ETHOS SD-CARD/audio|thmmod|thermal mode!, on
ETHOS SD-CARD/audio|thract|throttle active
ETHOS SD-CARD/audio|thrcut|throttle cut
ETHOS SD-CARD/audio|thrdis|throttle disabled
ETHOS SD-CARD/audio|thren|throttle enabled
ETHOS SD-CARD/audio|timrst|timer reset
ETHOS SD-CARD/audio|timstp|timer, stop
ETHOS SD-CARD/audio|timstr|timer, start
ETHOS SD-CARD/audio|tm1end|timer 1 ended
ETHOS SD-CARD/audio|tm1rst|timer 1 rieset
ETHOS SD-CARD/audio|tm1sta|timer 1 start
ETHOS SD-CARD/audio|tm1stp|timer 1 stop
ETHOS SD-CARD/audio|tm2end|timer 2 ended
ETHOS SD-CARD/audio|tm2rst|timer 2 rieset
ETHOS SD-CARD/audio|tm2sta|timer 2 start
ETHOS SD-CARD/audio|tm2stp|timer 2 stop
ETHOS SD-CARD/audio|tohigh|too high!
ETHOS SD-CARD/audio|tolow|too low!
ETHOS SD-CARD/audio|towlck|tow cable locked
ETHOS SD-CARD/audio|towrel|tow cable released
ETHOS SD-CARD/audio|trnoff|trainer!, off!
ETHOS SD-CARD/audio|trnon|trainer!, on!
ETHOS SD-CARD/audio|turtof|turtle mode off
ETHOS SD-CARD/audio|turton|turtle mode on
ETHOS SD-CARD/audio|vfr|vfr
ETHOS SD-CARD/audio|vfrrst|vfr reset
ETHOS SD-CARD/audio|vltcrt|battery voltage critical
ETHOS SD-CARD/audio|volt|volt
ETHOS SD-CARD/audio|voltmv|millivolt
ETHOS SD-CARD/audio|vrioff|vario!, off
ETHOS SD-CARD/audio|vrion|varion!, on
ETHOS SD-CARD/audio|vspd|vertical speed
ETHOS SD-CARD/audio|vsprst|vertical speed reset
